Region,City,A. Uniques of First Scribe Created,B. Total Events of Scribe Created,c. EHR,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,County Subdivision Name,County Subdivision FIPS,County Subdivision Class Code,County Subdivision Class Description,ZIP+4 Range Start,ZIP+4 Range End (or blank if no range),ZIP 9 Range Start,ZIP 9 Range End (or blank if no range),Record Type Code,Record Type Description,Residential Indicator,Carrier Route ID,Carrier Route Description,Building or Firm Name,Government Building Code,Government Building Description,Facility Code,Facility Description,City Delivery?,Valid delivery area?,Exact Match?
Alabama,Ashland,0,3,None,33.234539,-85.847477,1,place,,,"Ashland, AL 36251",,,,,Ashland,AL,Clay County,36251,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1027,,,959100,1030,1,1.03E+13,1027959100,,,,,,,,Ashland,90126,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Ashville,1,210,eClinicalWorks,33.785173,-86.216884,1,place,,,"Ashville, AL 35953",,,,,Ashville,AL,St. Clair County,35953,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1115,,,40302,2004,2,1.12E+13,1115040302,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Ragland,92646,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Athens,2,199,eClinicalWorks,34.764976,-87.103488,1,place,,,"Athens, AL 35611",,,,,Athens,AL,Limestone County,35611,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1083,,,20402,2071,2,1.08E+13,1083020402,"Huntsville, AL",26620,metropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Athens,90144,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Atmore,2,4,Other,31.119972,-87.470001,1,place,,,"Atmore, AL 36502",,,,,Atmore,AL,Escambia County,36502,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1053,Atmore,103004,970400,3062,3,1.05E+13,1053970400,,,,,,,,McCullough-Huxford,92034,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Auburn,6,139,AdvancedMD,32.547542,-85.468222,1,place,,,"Auburn, AL 36830",,,,,Auburn,AL,Lee County,36830,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1081,,,42101,1011,1,1.08E+13,1081042101,"Auburn-Opelika, AL",12220,metropolitan,"Columbus-Auburn-Opelika, GA-AL",194,,,Beauregard-Marvyn,90243,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Bay Minette,0,178,NextGen,30.88296,-87.77305,1,place,,,"Bay Minette, AL 36507",,,,,Bay Minette,AL,Baldwin County,36507,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1003,Bay Minette,104660,10500,1046,1,1.00E+13,1003010500,"Daphne-Fairhope-Foley, AL",19300,metropolitan,"Mobile-Daphne-Fairhope, AL",380,,,Bay Minette,90207,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Bessemer,2,82,eClinicalWorks,33.402429,-86.951784,1,place,,,"Bessemer, AL 35020",,,,,Bessemer,AL,Jefferson County,35020,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1073,Bessemer,105980,10200,2075,2,1.07E+13,1073010200,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Birmingham,90324,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Birmingham,70,15472,AdvancedMD,33.456412,-86.801904,1,place,,,"Birmingham, AL 35201",,,,,Birmingham,AL,Jefferson County,35201,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1073,Homewood,135800,12914,1014,1,1.07E+13,1073012914,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Birmingham,90324,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Boaz,0,31,Other,34.146146,-86.146749,1,place,,,"Boaz, AL 35956",,,,,Boaz,AL,Etowah County,35956,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1055,,,11002,1064,1,1.06E+13,1055011002,"Gadsden, AL",23460,metropolitan,,,,,Mountainboro,92268,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Brent,0,1,None,32.93735,-87.16472,1,place,,,"Brent, AL 35034",,,,,Brent,AL,Bibb County,35034,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1007,Brent,109136,10009,1012,1,1.01E+13,1007010009,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Centreville-Brent,90531,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Brewton,0,225,undefined,31.129427,-87.096126,1,place,,,"Brewton, AL 36426",,,,,Brewton,AL,Escambia County,36426,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1053,,,969900,2004,2,1.05E+13,1053969900,,,,,,,,Brewton,90378,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Butler,0,219,Meditech,32.115939,-88.273598,1,place,,,"Butler, AL 36904",,,,,Butler,AL,Choctaw County,36904,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1023,,,956800,2002,2,1.02E+13,1023956800,,,,,,,,Butler,90441,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Carbon Hill,0,1,Allscripts,33.89177,-87.52612,1,place,,,"Carbon Hill, AL 35549",,,,,Carbon Hill,AL,Walker County,35549,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1127,Carbon Hill,112016,21100,4029,4,1.13E+13,1127021100,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Carbon Hill,90477,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Carrollton,0,51,Epic,33.289682,-88.117113,1,place,,,"Carrollton, AL 35447",,,,,Carrollton,AL,Pickens County,35447,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1107,,,50300,1017,1,1.11E+13,1107050300,"Tuscaloosa, AL",46220,metropolitan,,,,,Carrollton,90495,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Castleberry,0,36,undefined,31.29906,-87.02247,1,place,,,"Castleberry, AL 36432",,,,,Castleberry,AL,Conecuh County,36432,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1035,Castleberry,112496,960400,3043,3,1.04E+13,1035960400,,,,,,,,Castleberry,90504,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Centre,1,142,eClinicalWorks,34.110859,-85.590218,1,place,,,"Centre, AL 35960",,,,,Centre,AL,Cherokee County,35960,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1019,,,956000,2005,2,1.02E+13,1019956000,,,,,,,,Centre,90522,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Centreville,4,1525,Athena,32.948233,-87.139316,1,place,,,"Centreville, AL 35042",,,,,Centreville,AL,Bibb County,35042,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1007,Centreville,113672,10008,1052,1,1.01E+13,1007010008,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Centreville-Brent,90531,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Childersburg,0,6,undefined,33.245885,-86.364148,1,place,,,"Childersburg, AL 35044",,,,,Childersburg,AL,Talladega County,35044,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1121,,,11302,2013,2,1.12E+13,1121011302,"Talladega-Sylacauga, AL",45180,micropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Childersburg,90576,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Clanton,0,669,Allscripts,32.856632,-86.652875,1,place,,,"Clanton, AL 35045",,,,,Clanton,AL,Chilton County,35045,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1021,,,60104,2021,2,1.02E+13,1021060104,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Clanton,90603,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Columbiana,0,35,Practice Fusion,33.17817,-86.60721,1,place,,,"Columbiana, AL 35051",,,,,Columbiana,AL,Shelby County,35051,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1117,Columbiana,116768,30703,1000,1,1.12E+13,1117030703,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Columbiana,90711,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Cottonwood,1,1,Other,31.04879,-85.30493,1,place,,,"Cottonwood, AL 36320",,,,,Cottonwood,AL,Houston County,36320,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1069,Cottonwood,117824,42000,2051,2,1.07E+13,1069042000,"Dothan, AL",20020,metropolitan,"Dothan-Enterprise-Ozark, AL",222,,,Cottonwood,90747,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Cropwell,0,24,ModMed,33.529643,-86.300691,1,place,,,"Cropwell, AL 35054",,,,,Cropwell,AL,St. Clair County,35054,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1115,,,40209,1044,1,1.12E+13,1115040209,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Pell City,92511,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Crossville,0,175,undefined,34.302028,-86.004164,1,place,,,"Crossville, AL 35962",,,,,Crossville,AL,Dekalb County,35962,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1049,,,960701,1020,1,1.05E+13,1049960701,"Fort Payne, AL",22840,micropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Crossville,90792,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Cuba,0,90,eClinicalWorks,32.4282,-88.37642,1,place,,,"Cuba, AL 36907",,,,,Cuba,AL,Sumter County,36907,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1119,Cuba,118952,11600,2055,2,1.12E+13,1119011600,,,,,,,,Cuba,90801,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Cullman,1,53,Cerner,34.111067,-86.853185,1,place,,,"Cullman, AL 35055",,,,,Cullman,AL,Cullman County,35055,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1043,Good Hope,130496,965100,2085,2,1.04E+13,1043965100,"Cullman, AL",18980,micropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Cullman,90810,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Dadeville,2,11,Other,32.794796,-85.744428,1,place,,,"Dadeville, AL 36853",,,,,Dadeville,AL,Tallapoosa County,36853,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1123,,,962400,4053,4,1.12E+13,1123962400,"Alexander City, AL",10760,micropolitan,"Columbus-Auburn-Opelika, GA-AL",194,,,Dadeville,90819,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Daleville,0,14,other,31.272415,-85.705129,1,place,,,"Daleville, AL 36322",,,,,Daleville,AL,Dale County,36322,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1045,,,21200,1007,1,1.05E+13,1045021200,"Ozark, AL",37120,micropolitan,"Dothan-Enterprise-Ozark, AL",222,,,Daleville,90828,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Daphne,0,62,Athena,30.60353,-87.9036,1,place,,,"Daphne, AL 36526",,,,,Daphne,AL,Baldwin County,36526,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1003,Daphne,119648,10800,2038,2,1.00E+13,1003010800,"Daphne-Fairhope-Foley, AL",19300,metropolitan,"Mobile-Daphne-Fairhope, AL",380,,,Daphne,90846,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Deatsville,0,2,eClinicalWorks,32.614355,-86.35842,1,place,,,"Deatsville, AL 36022",,,,,Deatsville,AL,Elmore County,36022,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1051,Holtville,135752,30103,1047,1,1.05E+13,1051030103,"Montgomery, AL",33860,metropolitan,"Montgomery-Selma, AL",388,,,Deatsville,90855,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Decatur,6,1720,eClinicalWorks,34.608016,-87.011052,1,place,,,"Decatur, AL 35601",,,,,Decatur,AL,Morgan County,35601,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1103,Decatur,120104,600,1024,1,1.10E+13,1103000600,"Decatur, AL",19460,metropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Decatur,90864,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Dora,1,38,Athena,33.735709,-87.054641,1,place,,,"Dora, AL 35062",,,,,Dora,AL,Walker County,35062,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1127,Sumiton,173848,21700,2014,2,1.13E+13,1127021700,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Dora,90891,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Dothan,7,799,Allscripts,31.148124,-85.371845,1,place,,,"Dothan, AL 36301",,,,,Dothan,AL,Houston County,36301,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1069,,,40900,1041,1,1.07E+13,1069040900,"Dothan, AL",20020,metropolitan,"Dothan-Enterprise-Ozark, AL",222,,,Dothan,90900,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Duncanville,0,1715,Athena,33.072735,-87.432921,1,place,,,"Duncanville, AL 35456",,,,,Duncanville,AL,Tuscaloosa County,35456,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1125,,,10707,2015,2,1.13E+13,1125010707,"Tuscaloosa, AL",46220,metropolitan,,,,,Big Sandy-Duncanville,90306,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Dutton,0,1,undefined,34.60335,-85.911106,1,place,,,"Dutton, AL 35744",,,,,Dutton,AL,Jackson County,35744,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1071,,,951101,3021,3,1.07E+13,1071951101,"Scottsboro, AL",42460,micropolitan,"Chattanooga-Cleveland-Dalton, TN-GA-AL",174,,,Section,92871,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Enterprise,2,12,Other,31.315846,-85.942956,1,place,,,"Enterprise, AL 36330",,,,,Enterprise,AL,Coffee County,36330,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1031,,,10700,1002,1,1.03E+13,1031010700,"Enterprise, AL",21460,micropolitan,"Dothan-Enterprise-Ozark, AL",222,,,Goodman,91341,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Epes,0,4,Other,32.672049,-88.120605,1,place,,,"Epes, AL 35460",,,,,Epes,AL,Sumter County,35460,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1119,,,11302,1019,1,1.12E+13,1119011302,,,,,,,,Livingston,91935,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Fairhope,1,297,undefined,30.480713,-87.861306,1,place,,,"Fairhope, AL 36532",,,,,Fairhope,AL,Baldwin County,36532,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1003,,,11102,1009,1,1.00E+13,1003011102,"Daphne-Fairhope-Foley, AL",19300,metropolitan,"Mobile-Daphne-Fairhope, AL",380,,,Fairhope,91053,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Fayette,0,111,Athena,33.72005,-87.809908,1,place,,,"Fayette, AL 35555",,,,,Fayette,AL,Fayette County,35555,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1057,Fayette,125840,20300,1009,1,1.06E+13,1057020300,,,,,,,,Fayette,91089,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Florence,1,79,eClinicalWorks,34.82298,-87.661652,1,place,,,"Florence, AL 35630",,,,,Florence,AL,Lauderdale County,35630,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1077,Florence,126896,10901,3009,3,1.08E+13,1077010901,"Florence-Muscle Shoals, AL",22520,metropolitan,"Florence-Muscle Shoals-Russellville, AL",250,,,Florence,91143,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Foley,1,748,None,30.384723,-87.726796,1,place,,,"Foley, AL 36535",,,,,Foley,AL,Baldwin County,36535,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1003,Foley,126992,11410,3026,3,1.00E+13,1003011410,"Daphne-Fairhope-Foley, AL",19300,metropolitan,"Mobile-Daphne-Fairhope, AL",380,,,Foley,91152,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Fort Payne,2,119,Other,34.417112,-85.828068,1,place,,,"Fort Payne, AL 35967",,,,,Fort Payne,AL,Dekalb County,35967,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1049,,,960900,1002,1,1.05E+13,1049960900,"Fort Payne, AL",22840,micropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Fort Payne,91206,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Frisco City,0,47,undefined,31.522005,-87.381527,1,place,,,"Frisco City, AL 36445",,,,,Frisco City,AL,Monroe County,36445,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1099,,,75901,2013,2,1.10E+13,1099075901,,,,,,,,Monroeville,92196,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Fultondale,0,4,eClinicalWorks,33.601739,-86.826491,1,place,,,"Fultondale, AL 35068",,,,,Fultondale,AL,Jefferson County,35068,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1073,Fultondale,128552,12004,1000,1,1.07E+13,1073012004,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Birmingham,90324,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Gadsden,1,695,undefined,34.049367,-85.934285,1,place,,,"Gadsden, AL 35901",,,,,Gadsden,AL,Etowah County,35901,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1055,Tidmore Bend,176208,10700,2013,2,1.06E+13,1055010700,"Gadsden, AL",23460,metropolitan,,,,,Turkeytown,93213,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Gardendale,3,582,Athena,33.70615,-86.848289,1,place,,,"Gardendale, AL 35071",,,,,Gardendale,AL,Jefferson County,35071,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1073,,,11704,3002,3,1.07E+13,1073011704,"Birmingham, AL",13820,metropolitan,"Birmingham-Cullman-Talladega, AL",142,,,Gardendale,91296,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Gordo,0,125,Athena,33.290717,-87.875835,1,place,,,"Gordo, AL 35466",,,,,Gordo,AL,Pickens County,35466,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1107,,,50000,3071,3,1.11E+13,1107050000,"Tuscaloosa, AL",46220,metropolitan,,,,,Gordo,91359,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Guin,0,65,Athena,33.96566,-87.91475,1,place,,,"Guin, AL 35563",,,,,Guin,AL,Marion County,35563,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1093,Guin,132224,964600,1119,1,1.09E+13,1093964600,,,,,,,,Guin,91449,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Guntersville,1,352,Allscripts,34.344851,-86.27518,1,place,,,"Guntersville, AL 35976",,,,,Guntersville,AL,Marshall County,35976,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1095,Guntersville,132416,30702,2031,2,1.10E+13,1095030702,"Albertville, AL",10700,micropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Guntersville,91458,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Gurley,0,100,Other,34.722737,-86.40353,1,place,,,"Gurley, AL 35748",,,,,Gurley,AL,Madison County,35748,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1089,,,10200,1062,1,1.09E+13,1089010200,"Huntsville, AL",26620,metropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,New Market,92358,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Haleyville,0,11,SimplePractice,34.22649,-87.62141,1,place,,,"Haleyville, AL 35565",,,,,Haleyville,AL,Winston County,35565,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1133,Haleyville,132704,965800,4006,4,1.13E+13,1133965800,,,,,,,,Haleyville,91494,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Hamilton,0,99,Other,34.167583,-87.994648,1,place,,,"Hamilton, AL 35570",,,,,Hamilton,AL,Marion County,35570,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1093,Hamilton,132848,964300,3017,3,1.09E+13,1093964300,,,,,,,,Hamilton,91512,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
Alabama,Hartselle,1,941,Practice Fusion,34.44343,-86.93528,1,place,,,"Hartselle, AL 35640",,,,,Hartselle,AL,Morgan County,35640,US,TIGER/Line® dataset from the US Census Bureau,2024,1,1103,Hartselle,133448,5303,4029,4,1.10E+13,1103005303,"Decatur, AL",19460,metropolitan,"Huntsville-Decatur-Albertville, AL-TN",290,,,Hartselle,91539,Z5,A statistical county subdivision,,,,,,,,,,,,,,,,,
